video_id,title,published,views,tags
kervtayk9bk,Onua Abatoɔ Asoeɛ: Ghana Decides 2024|| 07- 12- 2024,2024-12-08T06:34:09Z,628114,
mNl6BxOXJjE,7th December 2024 Ghana Presidential Election results #ghanaelections #Npp #Ndc #ghanaian,2024-03-21T07:26:13Z,496975,
wkB1YjUaH-4,#GhanaDecides2024 || Comprehensive coverage of the 2024 elections: Livestream | 07-12-24,2024-12-07T23:05:04Z,470061,
OSnda4d7k60,IT'S #DECISIONTIME: WHO WILL BE GHANA'S NEXT PRESIDENT? 07/12/24,2024-12-07T20:20:22Z,338536,
sb5SlyUPWmk,Onua Abatoɔ Asoeɛ: Ghana Decides 2024|| 07- 12- 2024,2024-12-08T12:44:50Z,294965,
o9lFFeaAZBQ,Ghana Election: Bawumia's Digital Economy Vs Mahama's Reset Mission | Firstpost Africa,2024-12-06T15:49:56Z,283843,firstpost|firstpost africa|alyson le grange|africa news live|firstpost africa live|firstpost africa news|firstpost africa news live|alyson le grange firstpost|firstpost africa alyson le grange|ghana|ghana news|ghana news today|ghana elections|ghana election 2024|ghana election live|ghana election 2024 polls|ghana election results
OA5dv_6kj50,Ghana Decides 2024: Special Live Coverage | Election Reference Center,2024-12-08T00:53:12Z,231867,NDC|NPP|net2tvgh|politics in ghana|kennedy agyapong|kencity|president of ghana|elections in ghana|the watchman|trending in ghana|john mahama|nana akufo-addo|1ontrending|ghana
D67sQgRAUaA,Onua Abatoɔ Asoeɛ: Ghana Decides 2024|| 08- 12- 2024,2024-12-08T20:22:29Z,230158,
sgacr8VfhXs,#DECISIONTIME: WHO WILL BE GHANA'S NEXT PRESIDENT? 08/12/24,2024-12-08T11:04:06Z,215357,
JKORjF_08kQ,What Nigeria Should Learn From Ghana's Presidential Election - Itodo | Sunday Politics,2024-12-08T22:04:49Z,184973,Channels Television|Channels TV|Africa News|Top African News|Breaking news|Nigerian Top Stories|Channels TV News|Channels TV Report|News Update|latest news|today news|Nigeria news|Nigerian news|PoliticsToday|Top Stories|Top Story|Breaking News
ZlbwhEQaMmo,#GhanaDecides2024: Comprehensive coverage of the 2024 elections,2024-12-09T10:04:20Z,166723,
VbKR-RpDWXA,Elections générales au Ghana : qui pour succéder à Nana Akufo-Ado ? • FRANCE 24,2024-12-06T22:32:43Z,158608,Afrique|Assemblée nationale|Culture|Ghana|Humour|Sénégal|Élections
wcQETf9uxns,IT'S #DECISIONTIME: WHO WILL BE GHANA'S NEXT PRESIDENT? 07/12/24,2024-12-07T22:09:08Z,150813,
ceBws0oDccI,VOA Interview: Ghana’s John Mahama makes presidential comeback,2024-12-14T18:04:47Z,142230,2024 Ghana elections|Free Education|John Dramani Mahama|President-elect|exclusive interview|galamsey
cy3aWc5oFLk,Onua Abatoɔ Asoeɛ: Ghana Decides 2024|| 07- 12- 2024,2024-12-07T12:08:48Z,136455,
qu-79dkA-1A,Ghana Decides 2024: Special Live Coverage | Election Reference Center,2024-12-08T12:04:23Z,119389,Ghana vs Brazil ||Head Coach Otoo Addo and Captain Andrew Ayew Pre-Match Press Conference
Pj8i4yqUaXs,LIVE RESULTS Of Election 2024: NPP Dr Bawumia vs NDC John Mahama,2024-12-08T03:03:30Z,112509,Gossips24|Gossips24 TV|Gossips24.com|#YawaofTheDay|dr likee tv|akabenezer|dr likee ras nene|ras nene videos|akrobeto|kwadwo nkansah lilwin|utvghana|mcbrown kitchen|delay show|delay tv|delay ghana|nana ama mcbrown|mcbrown tv|lilwin tv|kwaku manu tv|kwaku manu aggressive|agya koo|Obinim|Rev Obofour|Stonebwoy|GhPage|Ghana news|Ghana celebs|Ghana celebrity|Ghana gossip|NDC|NPP|Kennedy Agyapong|Sarkodie|Shatta Wale|Emelia Brobbey|Akrobeto|UTV
byATlWv0wRw,Ghana’s election is expected to be highly competitive | VOA News,2024-12-05T15:30:53Z,111596,Ghana|ghana elections
MVTut2mvhG8,John Mahama Wins the 2024 Ghana Elections | Prophet Uebert Angel,2024-12-08T13:06:57Z,108995,prophet angel|uebert angel|prophet uebert angel|GoodNewsworld|mahama campaign song 2024|ghana election 2024 live|ghana election 2024|bebe angel|beverly angel|the goodnews church|prophecy|prophetic|spirit embassy|christ embassy|prosperity|pastor chris|chris oyakhilome|Prophet|Africa|How to Hear the Voice of God|Miracle Money|Angel|Angels|Goodnews|Spirit Embassy|Ghana|Mahama
kRMTFWfREQ8,"LIVE STREAM: ELECTION HUB | 7th December, 2024",2024-12-08T11:48:17Z,107685,#GHOneNews|#GHOne TV|Ghana News|Trending
dkOim3zVNbM,Ghana Elections: Opposition Leader John Mahama Set to Return as President | Firstpost Africa,2024-12-09T15:55:06Z,102964,firstpost|firstpost africa|alyson le grange|africa news live|firstpost africa live|firstpost africa news|firstpost africa news live|alyson le grange firstpost|firstpost africa alyson le grange|ghana|ghana election|election in ghana|african election|johnmahama|johnmahamapresident|ghana election live|ghana election results|ghana election results updates|ghana election news|ghana election latest|ghana election news updates|ghana news|ghana election live update
h0u1KviJU4U,Election 2024: Kojo Oppong Nkrumah lists reasons behind NPP's loss in the 2024 elections,2024-12-09T15:50:21Z,97788,NPP|NDC|Election 2024|Election Headquarters
zZ-E1aPJPzc,WHO IS THE WINNER OF 2024 ELECTIONS IN GHANA - PROPHET CLEM,2024-07-04T14:06:47Z,96095,
wwrYvKVoCrA,Blind Historian speaks on NPP’s Loss of 2024 presidential elections with Passion,2024-12-17T21:18:12Z,94635,STEPHEN KOFI ADOMA|KOFI TV|ONE MINUTEGH|TRENDING|GHANA|NEWS|ADOM TV|ADOMAONLINE|NWANWANI|ADOM FM|CAPTAIN SMART
3l04L3zOQUI,Election 2024: Chaos at EC's office as Nana Kwame Bediako raises concerns over balloting process,2024-09-20T19:36:08Z,94571,Ghana Political Issues|Ghana Politics|Matters Arising in Ghana|NPP|CPP|PPP|National Budget|Chieftaincy|Ghanaian lawyers|Economy|Constitution|Election|Campaign|YouTube|Joy News|Latest News|HomePage|Akosombo Floods|Ghana|Current Affairs|Akosombo Dam Spillage
39MysrSvLPo,LIVE: Election 2024,2024-12-07T21:11:32Z,92581,BizTech|Nkomma Woho|GhanWeb|GhanaWeb TV|ghana|election|ghanaelection|npp|ndc|newforce
AqX1NbCpo4E,"LIVE STREAM: ELECTION HUB | 7th December, 2024",2024-12-07T23:00:29Z,90051,#GHOneNews|#GHOne TV|Ghana News|Trending
KWQiwcvDDKk,Ghana Votes: What's At Stake In The Dec. 7 Polls | World of Africa | WION,2024-09-24T16:48:24Z,87559,ghana|elections|ghana elections|ghana election|ghana presidential elections|elections ghana|ghana election 2020|ghana politics|election|election ghana|ghana elections 2020|ghana presidential election|presidential election|ghana general election 2020|ghana presidential election 2020|presidential elections|ghana presidential elections 2016|ghana presidential election 2016|ghana elections latest|2016 ghana election|ghana latest news|world news|wion|africa
RZG6yj7P2MA,'The 2024 Election Is Unlike Any in Ghana’s History' - Speaker Alban Bagbin,2024-10-24T14:11:47Z,85454,TV3|TV3 Ghana|Media General|TV3 News|Tv3 Midday News|News360|Ghana News on TV3|3News|Onua TV|3FM|3News Online|Date Rush|GMB|Ghana's Most Beautiful|Perfect Match Xtra|PMX|Perfect Match|TheDayShow|ShowBiz360|TheDayShow With Berla Mundi|TV3TalentedKidz
WZVDHJk4bMc,GHANA ELECTIONS UPDATE 29 November | Prophet Uebert Angel,2024-11-29T20:06:52Z,83408,uebert angel|bebe angel|beverly angel|the goodnews church|prophecy|prophetic|spirit embassy|christ embassy|prosperity|prophet angel|prophet uebert angel|pastor chris|chris oyakhilome|Prophet|Africa|How to Hear the Voice of God|Miracle Money|Angel|Angels|GoodNewsworld|Goodnews|Spirit Embassy
qK4ushCPCyE,Race to the Jubilee House: Assessing voting patterns across the country | Election HQ (6-12-24),2024-12-07T02:10:12Z,83235,Ghana Political Issues|Ghana Politics|Matters Arising in Ghana|NPP|CPP|PPP|Chieftaincy|Ghanaian lawyers|Economy|YouTube|Joy News|Latest News|HomePage|Ghana|Current Affairs|Ghana International News|joy News|Illegal Mining|Mining|Akufo Addo|Wontumi|Illegal Miners|Locals|Rivers|Land|Pra|Densu|pm express|leonard sasmtos simao|Race to the Jubilee House: Assessing voting patterns across the country | Election HQ (6-12-24)
UtsZlybI8G8,#GhanaDecides2024 on TV3 Livestream | 06-12-24,2024-12-07T00:10:29Z,82316,
Kp_thDtnKes,#GhanaDecides2024: Comprehensive coverage of the 2024 elections,2024-12-11T00:45:47Z,80877,
cZrvO0Tpoac,Polls open in Ghana's 2024 presidential and parliamentary elections,2024-12-07T13:44:11Z,77256,4538950|4cf5464c86d64b9da0bb2b6cb38a3983|88a073a4cb6d4a068a7a9a1210053adb|Associated Press|Ghana|Ghana Polls Open (CR)|John Dramani Mahama|Odartey Lamptey|Patricia Seyram Hagbevor|news
0kBGOHMHpXk,Mahama Wins Election 2024 With Over 6m Votes,2024-12-10T14:36:03Z,75467,kwadwo sheldon|yawaoftheday|ghana news|kojo sheldon
Yu8ybvQW8UY,IT'S #DECISIONTIME: WHO WILL BE GHANA'S NEXT PRESIDENT? 07/12/24,2024-12-07T10:02:06Z,73096,
VuS4QC-isCM,IT'S #DECISIONTIME: WHO WILL BE GHANA'S NEXT PRESIDENT? 07/12/24,2024-12-07T13:24:06Z,72442,
wz1haME3-rM,#GhanaDecides2024:Post-Election Coverage,2024-12-11T12:31:40Z,70162,
kX70SspH_XQ,2024 PRESIDENTIAL & PARLIAMENTARY ELECTIONS | 7 DECEMBER 2024,2024-12-08T09:15:44Z,69929,
fskLDRaJ554,2024 ELECTIONS: DR. BAWUMIA CONCEDES DEFEAT TO JOHN MAHAMA 08/12/24,2024-12-08T14:24:30Z,69905,
iEsqXpXPJCg,"Elections 2024: Dr Bawumia concedes defeat; congratulates President-elect, John Mahama on victory",2024-12-08T09:53:26Z,67644,NPP|NDC|Election 2024|Election Headquarters
ykBeqh3hQk0,Election 2024: 39 constituencies in the Ashanti Region dropped their support for the NPP in 2020,2024-11-19T14:54:41Z,67612,Political Issues|Ghana Politics|Matters Arising in Ghana|NPP Ghana|CPP|NDC|PPP|National Budget|Chieftaincy|Ghanaian lawyers|Economy|Constitution|Election|Campaign|YouTube|joy News|Latest News|Headlines|News in Ghana
is-ZqJAQyQs,Nana Kwame Bediako alleges sabotage after casting vote,2024-12-07T16:37:54Z,65599,TV3|TV3 Ghana|Media General|TV3 News|Tv3 Midday News|News360|Ghana News on TV3|3News|Onua TV|3FM|3News Online|Date Rush|GMB|Ghana's Most Beautiful|Perfect Match Xtra|PMX|Perfect Match|TheDayShow|ShowBiz360|TheDayShow With Berla Mundi|TV3TalentedKidz
VB48q80y4YM,Election 2024: None of our polls has shown runoff - Global InfoAnalytics,2024-10-25T10:30:40Z,62714,
gJ_7X1oX0c4,Ghana Decides 2024: Special Live Coverage | Election Reference Center,2024-12-08T10:57:28Z,58671,NDC|NPP|net2tvgh|politics in ghana|kennedy agyapong|kencity|president of ghana|elections in ghana|the watchman|trending in ghana|john mahama|nana akufo-addo|1ontrending|ghana
U6AG1at6hvA,2024 ELECTIONS:  JOHN DRAMANI MAHAMA IS PRESIDENT-ELECT 08/12/24,2024-12-08T18:01:25Z,58669,
0j0oHFlFhis,Ghana Elections 2024: I Saw A Dangerous Governance If You Vote For N...!,2024-11-22T12:22:04Z,57416,sarkodie|stonbwoy|shattawale|mahama|serwaa|lilwin|funnyface|kennedyagyapong|revobofour|traceboakye|nanayawsarfoh|kofioduro|abronye|asem|ghananews|nana yaw sarfo|adomtv|nhyiratv|Apostle Agyenim Boateng|utv ghana|CHURCH|nana addo|obinim|mzbel|akuapempoloo|charlotteoduro|real woman in me|kofi tv|gh page|zionfelix|evangelist awusi|Trends GH TV|Oman channel|Pinax tv|2muchgh|king2tv|sunday groove|rtv ghana|ghpage|oneghanatv
W9QP0M5pgLQ,#GhanaDecides2024: Post-election reflections,2024-12-11T18:27:07Z,55678,
mqrB7XRFUVA,"Election 2024: NDC flagbearer, John Mahama prays at his father's grave",2024-12-07T11:47:59Z,55512,John Mahama|Political Issues|Ghana Politics|Matters Arising in Ghana|NPP Ghana|CPP|NDC|PPP|National Budget|Chieftaincy|Ghanaian lawyers|Economy|Constitution|Election|Campaign|YouTube|joy News|Latest News|Headlines|News in Ghana|#ElectionHQ|Election 2024|Ghana|Bawumia|Akufo-Addo
RjtKSNdvAVo,Election 2024 || 7th December 2024 #Election2024,2024-12-08T00:56:51Z,54350,Ghana|#GBCGHANAONLINE
5ra-lroNYco,Ghana Decides 2024: Special Live Coverage | Election Reference Center,2024-12-08T05:19:06Z,53914,NDC|NPP|net2tvgh|politics in ghana|kennedy agyapong|kencity|president of ghana|elections in ghana|the watchman|trending in ghana|john mahama|nana akufo-addo|1ontrending|ghana
